PRODCATEGORYID,LANGUAGE,SHORT_DESCR,MEDIUM_DESCR,LONG_DESCR
RO,EN,Road Bike,Road bikes designed for broad audience,"Road bikes designed for broad audience, suitable for city and leisure riding."
RO,FR,Vélo de route,Vélos de route conçus pour un large public,"Vélos de route conçus pour un large public, adaptés aux déplacements urbains et aux loisirs."
RO,DE,Rennrad,Rennräder für ein breites Publikum konzipiert,"Rennräder für ein breites Publikum konzipiert, geeignet für Stadt- und Freizeitfahrten."
RO,ES,Bicicleta de carretera,Bicicletas de carretera diseñadas para un público amplio,"Bicicletas de carretera diseñadas para un público amplio, adecuadas para desplazamientos urbanos y paseos de ocio."
BX,EN,BMX,BMX bikes designed for stunts and racing,"BMX bikes designed for stunts and racing, with sturdy frames and small wheels for agility."
BX,FR,BMX,Vélos BMX conçus pour les figures et les courses,"Vélos BMX conçus pour les figures et les courses, avec des cadres robustes et de petites roues pour une grande maniabilité."
BX,DE,BMX,BMX-Räder für Stunts und Rennen konzipiert,"BMX-Räder für Stunts und Rennen konzipiert, mit robusten Rahmen und kleinen Rädern für hohe Wendigkeit."
BX,ES,BMX,Bicicletas BMX diseñadas para acrobacias y carreras,"Bicicletas BMX diseñadas para acrobacias y carreras, con cuadros resistentes y ruedas pequeñas para mayor agilidad."
CC,EN,Cyclo-cross Bike,Cyclo-cross bikes designed for mixed terrain racing,"Cyclo-cross bikes designed for mixed terrain racing, featuring knobby tires and lightweight frames."
CC,FR,Vélo de cyclo-cross,Vélos de cyclo-cross conçus pour les courses sur terrains mixtes,"Vélos de cyclo-cross conçus pour les courses sur terrains mixtes, dotés de pneus à crampons et de cadres légers."
CC,DE,Cyclocross-Rad,Cyclocross-Räder für Rennen auf gemischtem Terrain konzipiert,"Cyclocross-Räder für Rennen auf gemischtem Terrain konzipiert, mit profilierten Reifen und leichten Rahmen."
CC,ES,Bicicleta de ciclocross,Bicicletas de ciclocross diseñadas para carreras en terrenos mixtos,"Bicicletas de ciclocross diseñadas para carreras en terrenos mixtos, con neumáticos con tacos y cuadros ligeros."
MB,EN,Mountain Bike,Mountain bikes designed for off-road trails,"Mountain bikes designed for off-road trails, with sturdy frames and wide tires for better traction."
MB,FR,VTT,VTT conçus pour les sentiers tout-terrain,"VTT conçus pour les sentiers tout-terrain, avec des cadres robustes et des pneus larges pour une meilleure adhérence."
MB,DE,Mountainbike,Mountainbikes für Offroad-Strecken konzipiert,"Mountainbikes für Offroad-Strecken konzipiert, mit stabilen Rahmen und breiten Reifen für bessere Traktion."
MB,ES,Bicicleta de montaña,Bicicletas de montaña diseñadas para senderos todoterreno,"Bicicletas de montaña diseñadas para senderos todoterreno, con cuadros resistentes y neumáticos anchos para mejor tracción."
RC,EN,Racing Bike,Racing bikes designed for competitive cycling,"Racing bikes designed for competitive cycling, with lightweight frames and aerodynamic features."
RC,FR,Vélo de course,Vélos de course conçus pour le cyclisme de compétition,"Vélos de course conçus pour le cyclisme de compétition, avec des cadres légers et des caractéristiques aérodynamiques."
RC,DE,Rennmaschine,Rennräder für den Wettkampfsport konzipiert,"Rennräder für den Wettkampfsport konzipiert, mit leichten Rahmen und aerodynamischen Eigenschaften."
RC,ES,Bicicleta de competición,Bicicletas de competición diseñadas para ciclismo competitivo,"Bicicletas de competición diseñadas para ciclismo competitivo, con cuadros ligeros y características aerodinámicas."
DB,EN,Downhill Bike,Downhill bikes designed for steep descents and rough terrain,"Downhill bikes designed for steep descents and rough terrain, with heavy-duty frames and suspension systems."
DB,FR,Vélo de descente,Vélos de descente conçus pour les pentes raides et les terrains accidentés,"Vélos de descente conçus pour les pentes raides et les terrains accidentés, avec des cadres renforcés et des systèmes de suspension."
DB,DE,Downhill-Bike,Downhill-Bikes für steile Abfahrten und unwegsames Gelände konzipiert,"Downhill-Bikes für steile Abfahrten und unwegsames Gelände konzipiert, mit besonders stabilen Rahmen und Federungssystemen."
DB,ES,Bicicleta de descenso,Bicicletas de descenso diseñadas para pendientes pronunciadas y terrenos difíciles,"Bicicletas de descenso diseñadas para pendientes pronunciadas y terrenos difíciles, con cuadros reforzados y sistemas de suspensión."
EB,EN,eBike,eBikes designed for electric-assisted cycling,"eBikes designed for electric-assisted cycling, providing pedal assistance for easier riding."
EB,FR,Vélo électrique,Vélos électriques conçus pour le cyclisme à assistance électrique,"Vélos électriques conçus pour le cyclisme à assistance électrique, offrant une assistance au pédalage pour faciliter la conduite."
EB,DE,E-Bike,E-Bikes für elektrisch unterstütztes Fahren konzipiert,"E-Bikes für elektrisch unterstütztes Fahren konzipiert, mit Tretunterstützung für ein leichteres Fahrerlebnis."
EB,ES,Bicicleta eléctrica,Bicicletas eléctricas diseñadas para ciclismo con asistencia eléctrica,"Bicicletas eléctricas diseñadas para ciclismo con asistencia eléctrica, proporcionando asistencia al pedaleo para facilitar la conducción."
CB,EN,Cruiser,Cruiser bikes designed for comfortable and stylish riding,"Cruiser bikes designed for comfortable and stylish riding, perfect for leisurely rides around town."
CB,FR,Cruiser,Vélos cruiser conçus pour une conduite confortable et élégante,"Vélos cruiser conçus pour une conduite confortable et élégante, parfaits pour des balades tranquilles en ville."
CB,DE,Cruiser,Cruiser-Bikes für komfortables und stilvolles Fahren konzipiert,"Cruiser-Bikes für komfortables und stilvolles Fahren konzipiert, ideal für entspannte Fahrten in der Stadt."
CB,ES,Cruiser,Bicicletas cruiser diseñadas para una conducción cómoda y con estilo,"Bicicletas cruiser diseñadas para una conducción cómoda y con estilo, perfectas para paseos tranquilos por la ciudad."
HB,EN,Hybrid Bike,Hybrid bikes designed for versatile riding,"Hybrid bikes designed for versatile riding, combining features of road and mountain bikes for a comfortable and efficient ride on various terrains."
HB,FR,Vélo hybride,Vélos hybrides conçus pour une utilisation polyvalente,"Vélos hybrides conçus pour une utilisation polyvalente, combinant les caractéristiques des vélos de route et des VTT pour une conduite confortable et efficace sur divers terrains."
HB,DE,Hybridrad,Hybridräder für vielseitiges Fahren konzipiert,"Hybridräder für vielseitiges Fahren konzipiert, die Eigenschaften von Renn- und Mountainbikes kombinieren und so komfortables und effizientes Fahren auf unterschiedlichen Untergründen ermöglichen."
HB,ES,Bicicleta híbrida,Bicicletas híbridas diseñadas para un uso versátil,"Bicicletas híbridas diseñadas para un uso versátil, combinando características de bicicletas de carretera y de montaña para una conducción cómoda y eficiente en diversos terrenos."
