PRODUCTID,LANGUAGE,SHORT_DESCR,MEDIUM_DESCR,LONG_DESCR
RO-1001,EN,Roady 1001,Roady 1001 road bike built for everyday city riding and weekend tours,"The Roady 1001 is a versatile road bike designed for urban commuters and leisure cyclists. Featuring a lightweight aluminum frame, smooth-rolling tires, and a comfortable geometry, it delivers efficiency and comfort for daily rides and longer weekend trips."
RO-1001,DE,Roady 1001 Rennrad,Roady 1001 Rennrad für Stadt und Fitness,"Das Roady 1001 Rennrad ist ein vielseitiges Straßenrad für tägliche Pendelstrecken und sportliche Ausfahrten. Der leichte Aluminiumrahmen, die zuverlässige Schaltung und die ausgewogene Geometrie sorgen für effiziente Kraftübertragung und angenehmen Fahrkomfort auf längeren Strecken."
RO-1001,FR,Vélo de route Roady 1001,Roady 1001 vélo de route pour ville et fitness,"Le Roady 1001 est un vélo de route polyvalent conçu pour les trajets urbains et les sorties sportives. Son cadre léger en aluminium, sa transmission fiable et sa géométrie équilibrée assurent confort et efficacité sur courtes et longues distances."
RO-1001,ES,Bicicleta de carretera Roady 1001,Roady 1001 bicicleta de carretera para ciudad y fitness,"La Roady 1001 es una bicicleta de carretera versátil diseñada para desplazamientos urbanos y salidas deportivas. Su cuadro ligero de aluminio, transmisión fiable y geometría equilibrada ofrecen comodidad y eficiencia tanto en trayectos cortos como en recorridos largos."
RO-1002,EN,Roady 1002,Roady 1002 road bike offering balanced performance for city and fitness cycling,"The Roady 1002 combines speed and comfort in a well-balanced road bike for a broad audience. With improved drivetrain components and responsive handling, it is ideal for commuting, fitness rides, and relaxed long-distance touring."
RO-1002,FR,Vélo de route Roady 1002,Roady 1002 vélo de route performance pour cyclistes ambitieux,"Le Roady 1002 combine vitesse et stabilité grâce à une conception optimisée du cadre et un système de changement de vitesse précis. Idéal pour l’entraînement régulier et les longues sorties sur route."
RO-1002,DE,Roady 1002 Rennrad,Roady 1002 Performance-Rennrad für ambitionierte Fahrer,"Das Roady 1002 bietet eine ausgewogene Kombination aus Geschwindigkeit und Stabilität. Mit optimierter Rahmenkonstruktion, präzisem Schaltsystem und sportlicher Sitzposition eignet es sich ideal für Fitnessfahrten, Trainingsrunden und längere Wochenendtouren."
RO-1002,ES,Bicicleta de carretera Roady 1002,Roady 1002 bicicleta de carretera de alto rendimiento,"La Roady 1002 combina velocidad y estabilidad gracias a un diseño de cuadro optimizado y un sistema de cambios preciso. Ideal para entrenamientos regulares y recorridos prolongados en carretera."
RO-1003,EN,Roady 1003,Roady 1003 premium road bike for sporty city and leisure use,"The Roady 1003 delivers enhanced performance for ambitious leisure riders. Its lightweight frame, precision shifting system, and aerodynamic riding position make it suitable for longer rides while maintaining everyday usability."
RO-1003,DE,Roady 1003 Rennrad,Roady 1003 Premium-Rennrad mit sportlicher Geometrie,"Das Roady 1003 ist für Fahrer konzipiert, die Wert auf Leistung und Komfort legen. Hochwertige Komponenten, ein aerodynamisch optimierter Rahmen und direkte Kraftübertragung machen es zum idealen Begleiter für anspruchsvolle Straßenkilometer."
RO-1003,FR,Vélo de route Roady 1003,Roady 1003 vélo de route premium à géométrie sportive,"Le Roady 1003 est conçu pour les cyclistes exigeants recherchant performance et confort. Son design aérodynamique et ses composants de qualité garantissent une excellente transmission de puissance."
RO-1003,ES,Bicicleta de carretera Roady 1003,Roady 1003 bicicleta de carretera premium deportiva,"La Roady 1003 está pensada para ciclistas exigentes que buscan rendimiento y confort. Su diseño aerodinámico y componentes de calidad garantizan una excelente transmisión de potencia."
BX-1011,EN,BMX Vintage 1011,BMX Vintage 1011 stunt bike with classic styling and durable frame,"The BMX Vintage 1011 is designed for freestyle tricks and urban riding. With a reinforced steel frame, compact geometry, and high-impact wheels, it ensures durability and agility for park sessions and street stunts."
BX-1011,DE,BMX Vintage 1011,BMX Vintage 1011 Freestyle-Bike im Retro-Design,"Das BMX Vintage 1011 kombiniert klassisches Design mit robuster Bauweise. Der stabile Stahlrahmen und die kompakte Geometrie ermöglichen präzise Tricks und hohe Kontrolle im Skatepark oder auf urbanem Terrain."
BX-1011,FR,BMX Vintage 1011,BMX Vintage 1011 vélo freestyle au design rétro,"Le BMX Vintage 1011 associe style classique et construction robuste. Son cadre renforcé et sa géométrie compacte permettent un contrôle optimal pour les figures en skatepark ou en environnement urbain."
BX-1011,ES,BMX Vintage 1011,BMX Vintage 1011 bicicleta freestyle estilo retro,"La BMX Vintage 1011 combina diseño clásico y construcción robusta. Su cuadro reforzado y geometría compacta permiten un control preciso para trucos en skatepark o en entorno urbano."
BX-1012,EN,BMX Jump 1012,BMX Jump 1012 agile stunt bike for park and race tracks,"Built for action, the BMX Jump 1012 features a lightweight yet sturdy frame, responsive brakes, and compact wheels for maximum control. It is ideal for jumps, tricks, and entry-level BMX racing."
BX-1012,DE,BMX Jump 1012,BMX Jump 1012 Stunt-Bike für Park und Street,"Das BMX Jump 1012 ist auf Wendigkeit und Belastbarkeit ausgelegt. Verstärkte Komponenten, reaktionsschnelle Bremsen und optimale Balance unterstützen Sprünge und Tricks auf jedem Untergrund."
BX-1012,FR,BMX Jump 1012,BMX Jump 1012 vélo stunt pour park et street,"Le BMX Jump 1012 est conçu pour la maniabilité et la résistance. Ses composants renforcés offrent stabilité et sécurité lors des sauts et des tricks."
BX-1012,ES,BMX Jump 1012,BMX Jump 1012 bicicleta stunt para park y street,"La BMX Jump 1012 está diseñada para maniobrabilidad y resistencia. Sus componentes reforzados proporcionan estabilidad y seguridad en saltos y trucos."
BX-1013,EN,BMX Jump Lux I,BMX Jump Lux I upgraded freestyle BMX with enhanced components,"The BMX Jump Lux I enhances freestyle performance with premium tires, reinforced cranksets, and improved balance. Designed for ambitious riders, it delivers stability during jumps and precise handling in technical tricks."
BX-1013,FR,BMX Jump Lux I,BMX Jump Lux I modèle freestyle performance,"Le BMX Jump Lux I propose des composants améliorés et un meilleur équilibre pour les riders ambitieux pratiquant le freestyle."
BX-1013,DE,BMX Jump Lux I,BMX Jump Lux I Performance-Freestyle-Bike,"Das BMX Jump Lux I bietet verbesserte Stabilität und hochwertige Bauteile für ambitionierte Fahrer. Ideal für anspruchsvolle Sprungserien und kreative Street-Manöver."
BX-1013,ES,BMX Jump Lux I,BMX Jump Lux I modelo freestyle rendimiento,"La BMX Jump Lux I ofrece componentes mejorados y mayor equilibrio para riders que buscan un nivel superior en freestyle."
BX-1014,EN,BMX Jump Lux II,BMX Jump Lux II high-performance freestyle BMX bike,"The BMX Jump Lux II offers advanced durability and control for demanding riders. With upgraded bearings, a reinforced frame, and optimized weight distribution, it supports advanced tricks and competitive park riding."
BX-1014,DE,BMX Jump Lux II,BMX Jump Lux II Premium-Freestyle-Modell,"Das BMX Jump Lux II erweitert die Performance-Serie um verstärkte Lager, leichtere Komponenten und optimierte Gewichtsverteilung."
BX-1014,FR,BMX Jump Lux II,BMX Jump Lux II modèle freestyle premium,"Le BMX Jump Lux II améliore la série avec des roulements renforcés et une meilleure répartition du poids pour un contrôle avancé."
BX-1014,ES,BMX Jump Lux II,BMX Jump Lux II modelo freestyle premium,"La BMX Jump Lux II mejora la serie con rodamientos reforzados y mejor distribución del peso para mayor control."
BX-1015,EN,BMX Optima,BMX Optima versatile stunt bike for beginners and enthusiasts,"The BMX Optima is a reliable all-round freestyle bike designed for both newcomers and experienced riders. Its solid frame construction and responsive steering make it suitable for street riding and skatepark sessions."
BX-1015,DE,BMX Optima,BMX Optima vielseitiges Einsteiger-BMX,"Das BMX Optima ist ein zuverlässiges Allround-Modell für Anfänger und Fortgeschrittene mit stabiler Rahmenkonstruktion."
BX-1015,ES,BMX Optima,BMX Optima modelo versátil para principiantes,"La BMX Optima es una opción fiable para ciclistas principiantes e intermedios que buscan estabilidad y durabilidad."
BX-1015,FR,BMX Optima,BMX Optima modèle polyvalent pour débutants,"Le BMX Optima est un modèle fiable adapté aux débutants et aux riders intermédiaires recherchant stabilité et durabilité."
BX-1016,EN,BMX Optima II,BMX Optima II improved freestyle model with reinforced components,"The BMX Optima II builds on the proven Optima platform with enhanced durability and smoother ride dynamics. Designed for frequent practice and performance progression, it ensures stability and agility in every trick."
BX-1016,DE,BMX Optima II,BMX Optima II verbessertes Freestyle-Bike,"Das BMX Optima II bietet erhöhte Haltbarkeit und geschmeidiges Handling für regelmäßiges Training."
