VENDORID,EMAILADDRESS,PHONENUMBER,FAXNUMBER,WEBADDRESS,ADDRESSID,COMPANYNAME,LEGALFORM,CREATEDBY,CREATEDAT,CHANGEDBY,CHANGEDAT,CURRENCY
0100000000,maria.brown@all4bikes.com,622734567,,http://www.all4bikes.com,1000000034,All For Bikes,Inc.,0000000010,20181003,0000000010,20181003,USD
0100000001,bob.buyer@amazebikes.com,3088530,,http://www.amazebikes.com,1000000035,Amaze Bikes Inc,Inc.,0000000013,20181003,0000000013,20181003,USD
0100000002,victor.sanchez@arenasportusa.com,3023352668,,http://www.arenasportusa.com,1000000036,Arena Sports Inc,Inc.,0000000014,20181003,0000000014,20181003,USD
0100000003,franklin.jones@atlantausa.com,511403266,,http://www.atlantausa.com,1000000037,Atlanta Corp Inc,Inc.,0000000010,20181003,0000000010,20181003,USD
0100000004,robert_brown@bikeworlds.com,2244668800,,http://www.bikeworlds.com,1000000038,Bike World Inc,Inc.,0000000004,20181003,0000000004,20181003,USD
0100000005,bart.koenig@alphabikes.de,2511415,,http://www.alphabikes.de,1000000039,Alpha AG,AG,0000000006,20181003,0000000006,20181003,EUR
0100000008,saskia.sommer@tonabikes-ag.de,7257716,,http://www.tonabikes-ag.de,1000000042,Tona Bikes AG,AG,0000000008,20181003,0000000008,20181003,EUR
0100000009,dagmar.schulze@meinebicyclebayern.de,1133557799,,http://www.meinebicyclebayern.de,1000000043,Meine Bicycle,GmbH,0000000013,20181003,0000000013,20181003,EUR
0100000011,johanna.esther@bikeon.co.uk,6623612804,,http://www.bikeon.co.uk,1000000045,Bike On,Ltd.,0000000013,20181003,0000000013,20181003,GBP
0100000014,igor.tarassow@keepcycling-london.co.uk,5850428367,,http://www.keepcycling-london.co.uk,1000000048,Keep Cycling,Ltd.,0000000006,20181003,0000000006,20181003,GBP
0100000015,alexis.harper@icareaussie.com.au,7609448173,,http://www.icareaussie.com.au,1000000049,iCare Australia,Inc.,0000000014,20181003,0000000014,20181003,AUD
0100000016,c.alfaro@ccsport.com.au,6879342945,,http://www.ccsport.com.au,1000000050,CC SportWorld,Inc.,0000000008,20181003,0000000008,20181003,AUD
0100000017,sven.j@digipay.com.au,2208791738,,http://www.digipay.com.au,1000000051,DigiPay,Inc.,0000000005,20181003,0000000005,20181003,AUD
0100000019,alessio.galasso@ebike100.com,6328490087,,http://www.ebike100.com,1000000053,eBike 100,Inc.,0000000006,20181003,0000000006,20181003,AUD
0100000023,ajaz.khan@mxbyk.com,3629731486,,http://www.mxbyk.com,1000000057,MX Bike,Ltd.,0000000008,20181003,0000000008,20181003,INR
0100000031,anthony.lebouef@ebike36.ca,2483693027,,http://www.ebike36.ca,1000000065,Ebike 36,Ltd.,0000000003,20181003,0000000003,20181003,CAD
0100000032,lisa.felske@wichitasport.com,2094573421,,http://www.wichitasport.com,1000000066,Wichita Sport,Ltd.,0000000001,20181003,0000000001,20181003,CAD
0100000033,jonathan.d.mason@movebybike.ca,4136278910,,http://www.movebybike.ca,1000000067,Move by Bike,Ltd.,0000000001,20181003,0000000001,20181003,CAD
0100000034,amelie.troyat@techcycletoronto.ca,3540671320,,http://www.techcycletoronto.ca,1000000068,TechCycle,Ltd.,0000000004,20181003,0000000004,20181003,CAD
0100000035,sophie.ribery@yourcycleshop.fr,7315064077,,http://www.yourcycleshop.fr,1000000069,YourCycleShop,S.A.R.L.,0000000007,20181003,0000000007,20181003,EUR
0100000037,joseph_gschwandtner@ebike201.fr,9703586412,,http://www.ebike201.fr,1000000071,E bike 201,S.A.R.L.,0000000004,20181003,0000000004,20181003,EUR
0100000038,george_d_grant@thecyclefactor.fr,6843585642,,http://www.thecyclefactor.fr,1000000072,The Cycle Factor,S.A.R.L.,0000000003,20181003,0000000003,20181003,EUR
